Author(s),Year,Aim,Method,Participants/Dataset,Main Findings,Key Limitations,Keywords,APA Reference
Altowairqi S.; Luo S.; Greer P.; Chen S.,2026,"This paper presents a hybrid framework integrating Convolutional 3D Networks (C3D), Long Short-Term Memory (LSTM) networks, and attention mechanisms for anomaly detection.","Uses Long Short-Term Memory, attention mechanism.","UCF-Crime, Violent Flows, crowd, ShanghaiTech Campus",outperforming traditional spatiotemporal models.,struggle with computational complexity and real-time performance in processing spatiotemporal information.,anomaly detection; deep learning; LSTM; attention mechanism; IoT,"Altowairqi, S., Luo, S., Greer, P., & Chen, S. (2026, March). Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms. <i>Array</i>. Elsevier BV. http://doi.org/10.1016/j.array.2025.100625"
Tapia Leon F.; Collahuazo J.D.; Farinango P.C.; Chiliquinga C.; Tello-Oquendo L.; Rivera J.,2026,"This study proposes an innovative system for early detection of firearms using advanced computer vision techniques, convolutional neural networks (CNN), and computational intelligence in educational institutions.","Uses convolutional neural network, YOLO.",Not specified,"results demonstrated remarkable efficiency: 99% accuracy, 93% detection rate and 97% overall performance.",challenge to institutional security globally.,firearm detection; deep learning; CNN; YOLO; convolutional neural network,"León, F. T. (2026, February 27). Early Warning System for Firearm Detection on University Campuses Using Computer Vision. <i>Journal of Internet Services and Information Security</i>. SASA Publications. http://doi.org/10.58346/jisis.2026.i1.008"
An M.; Lim H.-Y.; Kang D.-S.,2026,"this paper proposes HiMeLSTM, a crowd anomaly detection framework built around a hippocampal-inspired memory-enhanced LSTM backbone that integrates Long Short-Term Memory (LSTM) networks with an Episodic Memory Unit (EMU).","Uses LSTM, Transformer.","UCF-Crime, Crowd, ShanghaiTech Campus","outperforms strong baseline architectures, including Vanilla LSTM, ConvLSTM, a lightweight spatial–temporal Transformer, and recent reconstruction-based models such as MemAE and ST-AE.","limitations in long-term contextual reasoning, computational efficiency, and interpretability.",anomaly detection; deep learning; LSTM; CCTV,"An, M., Lim, H.-Y., & Kang, D.-S. (2025, December 25). An Enhanced LSTM with Hippocampal-Inspired Episodic Memory for Urban Crowd Behavior Analysis. <i>Electronics</i>. MDPI AG. http://doi.org/10.3390/electronics15010101"
Singh H.; Deniz O.; Ruiz-Santaquiteria J.; Munoz J.D.; Bueno G.,2025,we propose a holistic firearm detection approach that integrates OCCs with visual hand-held gun features and human pose estimation (HPE).,"Uses autoencoder, human pose.",Not specified,achieving an F1-score of 86.,"limitations of traditional surveillance systems, which rely on human operators monitoring multiple screens.",anomaly detection; firearm detection; pose estimation; autoencoder,"Singh, H., Deniz, O., Ruiz-Santaquiteria, J., Muñoz, J. D., & Bueno, G. (2025, May 22). DeepGun: Deep Feature-Driven One-Class Classifier for Firearm Detection Using Visual Gun Features and Human Body Pose Estimation. <i>Applied Sciences</i>. MDPI AG. http://doi.org/10.3390/app15115830"
Mahmoodi J.; Nezamabadi-Pour H.,2025,we focus on exploiting a 2D CNN to encode spatio-temporal information.,"Uses Convolutional Neural Network, 3D Convolutional, optical flow.",Not specified,outperforms baseline ones.,"challenging task due to the variability and diversity of violent behavior, which can involve a wide range of actions, motions, and interactions between people and objects.",violence detection; deep learning; CNN; convolutional neural network; video surveillance,"Mahmoodi, J., & Nezamabadi‐Pour, H. (2025, March 11). Violence Detection in Video Using Statistical Features of the Optical Flow and <scp>2D</scp> Convolutional Neural Network. <i>Computational Intelligence</i>. Wiley. http://doi.org/10.1111/coin.70034"
Shin J.; Miah A.S.M.; Kaneko Y.; Hassan N.; Lee H.-S.; Jang S.-W.,2025,we propose a novel WS-VAD system leveraging multimodal datasets with an attention-enhanced feature fusion approach to address these challenges.,Uses optical flow.,"UCF-Crime, ShanghaiTech, XD-Violence","outperforming prior models by nearly 2%, and attains AUCs of 98.","challenges, particularly with unimodal approaches that struggle to extract meaningful features effectively.",violence detection; anomaly detection; deep learning; optical flow; spatiotemporal features,"Shin, J., Miah, A. S. M., Kaneko, Y., Hassan, N., Lee, H.-S., & Jang, S.-W. (2025). Multimodal Attention-Enhanced Feature Fusion-Based Weakly Supervised Anomaly Violence Detection. <i>IEEE Open Journal of the Computer Society</i>. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/ojcs.2024.3517154"
Abi-Nader D.; Harb H.; Jaber A.; Mansour A.; Osswald C.; Mostafa N.; Zaki C.,2025,"This paper introduces a novel automatic firearm detection surveillance system, utilizing a one-stage detection approach named MARIE (Mechanism for Real-time Identification of Firearms).","Uses MobileNet, Inception.",Not specified,See paper for details.,Not specified,firearm detection; deep learning; object detection; MobileNet; feature extraction,"Abi-Nader, D., Jaber, A., Harb, H., Mostafa, N., Zaki, C., Mansour, A., & Osswald, C. (2025). MARIE: One-Stage Object Detection Mechanism for Real-Time Identifying of Firearms. <i>Computer Modeling in Engineering & Sciences</i>. Tech Science Press. http://doi.org/10.32604/cmes.2024.056816"
Ojha R.R.; Chawdary H.; Saraswat S.,2025,"This work introduces a novel Real-Time Violence Detection and Notification System, leveraging Faster R-CNN and MobileNetV2 architectures to analyze surveillance footage effectively.","Uses CNN, MobileNet.",Not specified,See paper for details.,Not specified,violence detection; CNN; MobileNet,"Ojha, R. R., Chawdary, H., & Saraswat, S. (2025). Enhancing Public Safety: Real-Time Violence Detection and Notification System. <i>Procedia Computer Science</i>. Elsevier BV. http://doi.org/10.1016/j.procs.2025.04.558"
Pangavhane M.; Patil R.; Bharati R.; Gupta D.; Ahire P.; Patil P.; Rahane W.; Dharrao D.,2025,Nowadays continuous monitoring of public and private environments through Closed-Circuit Television (CCTV) is at peak attention.,"Uses Long Short-Term Memory, attention mechanism, Inception, BiLSTM.",Not specified,See paper for details.,Not specified,violence detection; deep learning; LSTM; attention mechanism; real-time detection,"Pangavhane, M., Patil, R., Bharati, R., Gupta, D., Ahire, P., Patil, P., … Dharrao, D. (2025, January 31). Real-Time Deep Learning-Driven Surveillance with Spatiotemporal Feature Extraction for Detection of Anomalous Human Behavior Across Dynamic Environments. <i>International Journal of Safety and Security Engineering</i>. International Information and Engineering Technology Association. http://doi.org/10.18280/ijsse.150112"
Jarraya S.K.; Masmoudi M.; Alqurashi F.A.; Alshammari S.M.,2025,"Drug abuse and addiction problems are one of the most serious health, social, and psychological problems facing the world.","Uses LSTM, MobileNet, BiLSTM.",Not specified,"5%) is obtained with fused handcrafted features based on skeleton joints and deep features extracted with the MobileNet pretrained model and forwarded to a deep proposed network based on two TimeDistributed layers, one BiLSTM layer, and several Dense layers.",Not specified,deep learning; LSTM; MobileNet,"Jarraya, S. K., Masmoudi, M., Alqurashi, F. A., & Alshammari, S. M. (2025, January). Analyzing and Detecting Abnormal Behaviors of Drug Abuse and Addiction Users in School Environments Based on Deep Learning Approaches. (A. Hošovský, Ed.), <i>International Journal of Intelligent Systems</i>. Wiley. http://doi.org/10.1155/int/9722173"
