Database,Article source,Authors,Title,Year,DOI,Short description(abstract if possible),Keywords,APA
ACM Digital Library,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),"Abdallah, Abdelrahman and Abdalla, Mahmoud and Piryani, Bhawna and Mozafari, Jamshid and Ali, Mohammed and Jatowt, Adam","RerankArena: A Unified Platform for Evaluating Retrieval, Reranking and RAG with Human and LLM Feedback",2025,doi.org/10.1145/3746252.3761484,Describes a unified open-source framework for retrieval and re-ranking that integrates models like MonoT5 and RankGPT.,"Information Retrieval, Re-Ranking, RAG, Open-source toolkit","Abdallah, A., Abdalla, M., Piryani, B., Mozafari, J., Ali, M., & Jatowt, A. (2025, November 10). RerankArena: A Unified Platform for Evaluating Retrieval, Reranking and RAG with Human and LLM Feedback. Proceedings of the 34th ACM International Conference on Information and Knowledge Management. ACM. http://doi.org/10.1145/3746252.3761484"
IEEE Xplore,IEEE Access,Ifra Afzal; Burcu Yilmazel; Cihan Kaleli,An Approach for Multi-Context-Aware Multi-Criteria Recommender Systems Based on Deep Learning,2024,doi.org/10.1109/ACCESS.2024.3428630,"Предлагает нейросетевую модель, которая объединяет множество контекстных переменных (время, место) с мульти-критериальной оценкой для динамического изменения позиций в выдаче.","Multi-Criteria Recommendation, Deep Learning, Context Modeling, Dynamic Ranking","Afzal, I., Yilmazel, B., & Kaleli, C. (2024). An Approach for Multi-Context-Aware Multi-Criteria Recommender Systems Based on Deep Learning. IEEE Access. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2024.3428630"
ACM Digital Library,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),"Faizan, Ahemad",Quantization Aware Matryoshka Adaptation,2025,doi.org/10.1145/3746252.3761077,"Introduces QAMA, a framework for creating compact, semantically rich embeddings for efficient retrieval using Matryoshka Learning and quantization to improve retrieval speed.","Matryoshka Learning, Quantization, Bitwise Operations, Information Retrieval","Ahemad, F. (2025, November 10). Quantization Aware Matryoshka Adaptation: Leveraging Matryoshka Learning, Quantization, and Bitwise Operations for Reduced Storage and Improved Retrieval Speed. Proceedings of the 34th ACM International Conference on Information and Knowledge Management. ACM. http://doi.org/10.1145/3746252.3761077"
Springer Link,Information Access in the Era of Generative AI (Книга),"Marwah Alaofi, Negar Arabzadeh, Charles L. A. Clarke & Mark Sanderson ",Generative Information Retrieval Evaluation,2025,doi.org/10.1007/978-3-031-73147-1_6,"Discusses evaluation methodologies for GenIR and RAG systems, addressing the impact of generative methods on relevance.","Generative Information Retrieval, Large Language Models, RAG, Evaluation","Alaofi, M., Arabzadeh, N., Clarke, C. L. A., & Sanderson, M. (2024, September 12). Generative Information Retrieval Evaluation. The Information Retrieval Series. Springer Nature Switzerland. http://doi.org/10.1007/978-3-031-73147-1_6"
IEEE Xplore,IEEE Access,"Amala, K.J.; Rajeswari, D.",Neural Learning to Rank Model With Bias Correction and Attention Enhanced Relevance Prediction,2025,doi.org/10.1109/ACCESS.2025.3625652,Introduces the APCP network to estimate document relevance and observation bias. Examines the impact of contextual features like document presentation and click patterns on ranking quality.,Bias correction; click models; CTR prediction; context-aware ranking; examination bias; learning to rank,"Amala, K. J., & Rajeswari, D. (2025). Neural Learning to Rank Model With Bias Correction and Attention Enhanced Relevance Prediction. IEEE Access. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2025.3625652"
ACM Digital Library,ACM Transactions on Information Systems (TOIS),"Anand, Abhijit and Leonhardt, Jurek and Singh, Jaspreet and Rudra, Koustav and Anand, Avishek",Data Augmentation for Sample Efficient and Robust Document Ranking,2023,doi.org/10.1145/3634911,"Discusses data augmentation to improve robustness and efficiency of neural document ranking models, addressing relevance estimation impact.","document ranking, data augmentation, robustness","Anand, A., Leonhardt, J., Singh, J., Rudra, K., & Anand, A. (2024, April 29). Data Augmentation for Sample Efficient and Robust Document Ranking. ACM Transactions on Information Systems. Association for Computing Machinery (ACM). http://doi.org/10.1145/3634911"
Springer Link,Lecture Notes in Networks and Systems (LNNS),"Arora, N.; Mathur, H.; Patil, V.R.",Toward Contextual Search Optimization: A Unified Ranking Approach for Relevance Prioritization,2026,doi.org/10.1007/978-981-96-7508-1_12,"Presents 'Contextual Rank', a strategy that integrates BM25, PageRank, and BERT. It evaluates user history and behavioral patterns to fine-tune relevance scores dynamically according to search context.",A unified ranking approach; Optimization; Search engines; Hybrid systems; Learning to rank; User experience,"Arora, N., Mathur, H., & Patil, V. R. (2025, October 1). Toward Contextual Search Optimization: A Unified Ranking Approach for Relevance Prioritization. Lecture Notes in Networks and Systems. Springer Nature Singapore. http://doi.org/10.1007/978-981-96-7508-1_12"
IEEE Xplore,IEEE Access,"Krishnan Batri, S. Lakshmi, R. Sowrirajan",Parabolic Weighting Mechanism in Information Retrieval,2025,doi.org/10.1109/ACCESS.2025.3550964,Presents a novel parabolic weighting mechanism inspired by Lenz’s Law to balance term frequency contributions in document ranking.,"term-weighting, document ranking, information retrieval, Lenz's Law","Batri, K., Lakshmi, S., & Sowrirajan, R. (2025). Parabolic Weighting Mechanism in Information Retrieval: A Mathematical Analogy to Lenz’s Law. IEEE Access. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2025.3550964"
IEEE Xplore,IEEE Access,"S. Lakshmi, Rajermani Thinakaran, Krishnan Batri, R. Sowrirajan, Sivaram Murugan",Beyond Precision and Recall: Measuring Search Engine Consistency Using Rank Stability,2025,doi.org/10.1109/ACCESS.2025.3571184,Introduces a novel rank correlation measure to quantify search result consistency by analyzing rank fluctuations in repeated queries. Evaluates the stability of search rankings and context-aware behavior in Google and Bing to measure stability beyond conventional metrics.,"Search engine evaluation, Rank correlation, Repeated queries, Rank stability, Information retrieval, Search result consistency, Web search ranking","Batri, K., Thinakaran, R., Lakshmi, S., Sowrirajan, R., & Murugan, S. (2025). Beyond Precision and Recall: Measuring Search Engine Consistency Using Rank Stability. IEEE Access. Institute of Electrical and Electronics Engineers (IEEE). http://doi.org/10.1109/access.2025.3571184"
ACM Digital Library,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD '23),"Buyl, Maarten and Missault, Paul and Sondag, Pierre-Antoine",RankFormer: Listwise Learning-to-Rank Using Listwide Labels,2023,doi.org/10.1145/3580305.3599892,Proposes a Transformer-based architecture that jointly optimizes listwide assessment and listwise LTR objectives to improve the positioning of items based on absolute feedback.,"learning-to-rank, transformer, listwise ranking, listwide, attention","Buyl, M., Missault, P., & Sondag, P.-A. (2023, August 4). RankFormer: Listwise Learning-to-Rank Using Listwide Labels. Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining. ACM. http://doi.org/10.1145/3580305.3599892"
