Database,Article source,Authors,Title,Year,DOI,Short description,Keywords,APA
Scopus,Array,Altowairqi S.; Luo S.; Greer P.; Chen S.,Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms,2026,doi.org/10.1016/j.array.2025.100625,"The rising deployment of surveillance systems in urban environments necessitates efficient automated anomaly detection methods. While showing promise, current deep learning approaches struggle with computational complexity and real-time performance in processing spatiotemporal information. This paper presents a hybrid framework integrating Convolutional 3D Networks (C3D), Long Short-Term Memory (LSTM) networks, and attention mechanisms for anomaly detection. Through a systematic evaluation of four attention mechanisms—self-attention, multi-head attention, Bahdanau attention, and Luong attention—we demonstrate their operational differences and their differential impact on feature extraction and classification performance across three diverse benchmark datasets. Our multi-head attention variant achieves state-of-the-art results with 99.40 % accuracy and 99.96 % Area Under the Curve (AUC) on Violent Flows, while maintaining robust performance across varying dataset complexities, achieving 91.87 % accuracy on the ShanghaiTech Campus and 79.7 % accuracy on the UCF-Crime dataset. Comprehensive cross-dataset evaluation demonstrates consistent improvements of 2.4 %–3.5 % over baseline approaches, with all attention mechanisms outperforming traditional spatiotemporal models. The proposed architecture effectively balances computational requirements with detection performance, maintaining real-time processing capabilities suitable for operational deployment. This framework advances the technical capabilities of anomaly detection systems while providing a validated foundation for practical deployment in diverse surveillance environments, from controlled scenarios to challenging real-world conditions.",COMP,
Scopus,Journal of Internet Services and Information Security,Tapia Leon F.; Collahuazo J.D.; Farinango P.C.; Chiliquinga C.; Tello-Oquendo L.; Rivera J.,Early Warning System for Firearm Detection on University Campuses Using Computer Vision,2026,doi.org/10.58346/JISIS.2026.I1.008,"Firearm violence in educational settings represents a critical challenge to institutional security globally. This study proposes an innovative system for early detection of firearms using advanced computer vision techniques, convolutional neural networks (CNN), and computational intelligence in educational institutions. The main objective was to develop a deep learning model based on CNN architectures capable of identifying and alerting the presence of weapons in real time, improving traditional security protocols. The methodology implemented a systematic approach comprising three fundamental stages: data collection, model training, and experimental validation. For model training, a set of 9,000 rigorously labeled images processed using the Roboflow tool was used. The YOLOv5 algorithm, implemented in Google Colab, allows training a detection model with high-precision parameters. The system was integrated directly with the security camera infrastructure of the university campus. Experimental results demonstrated remarkable efficiency: 99% accuracy, 93% detection rate and 97% overall performance. The system can continuously monitor spaces, triggering instant alerts upon identification of potential threats, with a processing capacity that significantly exceeds traditional human monitoring. The findings suggest that machine vision is a promising strategy for strengthening preventive security in educational institutions. Future research will focus on optimizing the model's adaptability to diverse environments and environmental conditions, potentially expanding its implementation to different types of institutions.",COMP; ENGI,
Scopus,Electronics Switzerland,An M.; Lim H.-Y.; Kang D.-S.,An Enhanced LSTM with Hippocampal-Inspired Episodic Memory for Urban Crowd Behavior Analysis,2026,doi.org/10.3390/electronics15010101,"The increasing frequency and severity of urban crowd disasters underscore a critical need for intelligent surveillance systems capable of real-time crowd anomaly detection and early warning. While deep learning models such as LSTMs, ConvLSTMs, and Transformers have been applied to video-based crowd anomaly detection, they often face limitations in long-term contextual reasoning, computational efficiency, and interpretability. To address these challenges, this paper proposes HiMeLSTM, a crowd anomaly detection framework built around a hippocampal-inspired memory-enhanced LSTM backbone that integrates Long Short-Term Memory (LSTM) networks with an Episodic Memory Unit (EMU). This hybrid design enables the model to effectively capture both short-term temporal dynamics and long-term contextual patterns essential for understanding complex crowd behavior. We evaluate HiMeLSTM on two publicly available crowd-anomaly benchmark datasets (UCF-Crime and ShanghaiTech Campus) and an in-house CrowdSurge-1K dataset, demonstrating that it consistently outperforms strong baseline architectures, including Vanilla LSTM, ConvLSTM, a lightweight spatial–temporal Transformer, and recent reconstruction-based models such as MemAE and ST-AE. Across these datasets, HiMeLSTM achieves up to 93.5% accuracy, 89.6% anomaly detection rate (ADR), and a 0.89 F1-score, while maintaining computational efficiency suitable for real-time deployment on GPU-equipped edge devices. Unlike many recent approaches that rely on multimodal sensors, optical-flow volumes, or detailed digital twins of the environment, HiMeLSTM operates solely on raw CCTV video streams combined with a simple manually defined zone layout. Furthermore, the hippocampal-inspired EMU provides an interpretable memory retrieval mechanism: by inspecting the retrieved episodes and their att ention weights, operators can understand which past crowd patterns contributed to a given decision. Overall, the proposed framework represents a significant step toward practical and reliable crowd monitoring systems for enhancing public safety in urban environments.",ENGI; COMP,
Scopus,Applied Sciences Switzerland,Singh H.; Deniz O.; Ruiz-Santaquiteria J.; Munoz J.D.; Bueno G.,DeepGun: Deep Feature-Driven One-Class Classifier for Firearm Detection Using Visual Gun Features and Human Body Pose Estimation,2025,doi.org/10.3390/app15115830,"The increasing frequency of mass shootings at public events and public buildings underscores the limitations of traditional surveillance systems, which rely on human operators monitoring multiple screens. Delayed response times often hinder security teams from intervening before an attack unfolds. Since firearms are rarely seen in public spaces and constitute anomalous observations, firearm detection can be considered as an anomaly detection (AD) problem, for which one-class classifiers (OCCs) are well-suited. To address this challenge, we propose a holistic firearm detection approach that integrates OCCs with visual hand-held gun features and human pose estimation (HPE). In the first stage, a variational autoencoder (VAE) learns latent representations of firearm-related instances, ensuring that the latent space is dedicated exclusively to the target class. Hand patches of variable sizes are extracted from each frame using body landmarks, dynamically adjusting based on the subject’s distance from the camera. In the second stage, a unified feature vector is generated by integrating VAE-extracted latent features with landmark-based arm positioning features. Finally, an isolation forest (IFC)-based OCC model evaluates this unified feature representation to estimate the probability that a test sample belongs to the firearm-related distribution. By utilizing skeletal representations of human actions, our approach overcomes the limitations of appearance-based gun features extracted by camera, which are often affected by background variations. Experimental results on diverse firearm datasets validate the effectiveness of our anomaly detection approach, achieving an F1-score of 86.6%, accuracy of 85.2%, precision of 95.3%, recall of 74.0%, and average precision (AP) of 83.5%. These results demonstrate the superiority of our method over traditional approaches that rely solely on visual features.",MATE; PHYS; ENGI; CENG; COMP,
Scopus,Computational Intelligence,Mahmoodi J.; Nezamabadi-Pour H.,Violence Detection in Video Using Statistical Features of the Optical Flow and 2D Convolutional Neural Network,2025,doi.org/10.1111/coin.70034,"The rapid growth of video data has resulted in an increasing need for surveillance and violence detection systems. Although such events occur less frequently than normal activities, developing automated video surveillance systems for violence detection has become essential to minimize labor and time waste. Detecting violent activity in videos is a challenging task due to the variability and diversity of violent behavior, which can involve a wide range of actions, motions, and interactions between people and objects. Currently, researchers employ deep learning models to detect violent behaviors. In fact, a large number of deep learning approaches are based on extracting spatio-temporal information from a video by exploiting a 3D Convolutional Neural Network (CNN). Despite their success, these techniques require a lot more parameters than 2D CNNs and have high computational complexity. Therefore, we focus on exploiting a 2D CNN to encode spatio-temporal information. Actually, statistical features of the optical flow changes are used to give this ability to a 2D CNN. These features are designed to make attention to regions of a video clip with much more motion. Accordingly, the optical flow of an input video is calculated. To determine meaningful changes in the optical flow, the optical flow magnitude of a current frame is compared with its predecessor. After that, statistical features of these changes are extracted to summarize a video clip to a 2D template, which feeds a 2D CNN. Experimental results on four benchmark datasets observe that the suggested strategy outperforms baseline ones. In particular, we make a better estimation of the spatio-temporal features in a video by shortening a video clip into a 2D template.",MATH; COMP,
Scopus,IEEE Open Journal of the Computer Society,Shin J.; Miah A.S.M.; Kaneko Y.; Hassan N.; Lee H.-S.; Jang S.-W.,Multimodal Attention-Enhanced Feature Fusion-Based Weakly Supervised Anomaly Violence Detection,2025,doi.org/10.1109/OJCS.2024.3517154,"Weakly supervised video anomaly detection (WS-VAD) plays a pivotal role in advancing intelligent surveillance systems within the field of computer vision. Despite significant research, WS-VAD continues to face challenges, particularly with unimodal approaches that struggle to extract meaningful features effectively. A few research studies have been done on the multimodal dataset fusion-based WS-VAD system, and their performance accuracy is unsatisfactory. In response, we propose a novel WS-VAD system leveraging multimodal datasets with an attention-enhanced feature fusion approach to address these challenges. Our system integrates three distinct data modalities - RGB video, optical flow, and audio signals - where each stream extracts complementary spatial and temporal features using an enhanced attention module to improve the detection accuracy and robustness. In the RGB video stream, we employ a multi-stage, attention-driven feature enhancement process to refine spatial and temporal features. This process begins with a ViT-based CLIP module, where the top k features are concatenated with I3D- and TCA-based spatiotemporal features. Temporal dependencies are then captured through uncertainty-regulated dual memory units (UR-DMUs), allowing the simultaneous learning of normal and anomalous patterns. The final stage selects the most relevant features, yielding a refined representation of RGB-based data. The second stream extracts enhanced spatiotemporal features from flow data using a deep learning and attention module. Lastly, the audio stream detects anomalies in sound patterns through an attention module integrated with the VGGish model, capturing auditory cues. The fusion of these three streams captures motion and audio signals often missed by visual analysis alone, significantly enhancing anomaly detection accuracy and robustness. Our multimodal fusion achieves an average precision (AP) of 88.28% on the XD-Violence dataset, outperforming prior models by nearly 2%, and attains AUCs of 98.71% on the ShanghaiTech dataset and 90.26% on the UCF-Crime dataset. These results underscore the effectiveness of our approach, consistently surpassing existing methods across three benchmark datasets and validating its robustness in WS-VAD applications.",COMP,
Scopus,CMES Computer Modeling in Engineering and Sciences,Abi-Nader D.; Harb H.; Jaber A.; Mansour A.; Osswald C.; Mostafa N.; Zaki C.,MARIE: One-Stage Object Detection Mechanism for Real-Time Identifying of Firearms,2025,doi.org/10.32604/cmes.2024.056816,"Security and safety remain paramount concerns for both governments and individuals worldwide. In today’s context, the frequency of crimes and terrorist attacks is alarmingly increasing, becoming increasingly intolerable to society. Consequently, there is a pressing need for swift identification of potential threats to preemptively alert law enforcement and security forces, thereby preventing potential attacks or violent incidents. Recent advancements in big data analytics and deep learning have significantly enhanced the capabilities of computer vision in object detection, particularly in identifying firearms. This paper introduces a novel automatic firearm detection surveillance system, utilizing a one-stage detection approach named MARIE (Mechanism for Real-time Identification of Firearms). MARIE incorporates the Single Shot Multibox Detector (SSD) model, which has been specifically optimized to balance the speed-accuracy trade-off critical in firearm detection applications. The SSD model was further refined by integrating MobileNetV2 and InceptionV2 architectures for superior feature extraction capabilities. The experimental results demonstrate that this modified SSD configuration provides highly satisfactory performance, surpassing existing methods trained on the same dataset in terms of the critical speed-accuracy trade-off. Through these innovations, MARIE sets a new standard in surveillance technology, offering a robust solution to enhance public safety effectively.",COMP; MATH,
Scopus,Procedia Computer Science,Ojha R.R.; Chawdary H.; Saraswat S.,Enhancing Public Safety: Real-Time Violence Detection and Notification System,2025,doi.org/10.1016/j.procs.2025.04.558,"The increasing incidence of violent events in public and private spaces necessitates the development of advanced security measures. This work introduces a novel Real-Time Violence Detection and Notification System, leveraging Faster R-CNN and MobileNetV2 architectures to analyze surveillance footage effectively. It enhances public safety by providing real-time alerts to security personnel and authorities via a Telegram bot, ensuring swift and efficient intervention. The system utilizes a combination of machine learning algorithms and computer vision techniques to accurately identify aggressive behavior while distinguishing it from non-violent activities. Comprehensive evaluations highlight the system's high accuracy, and a comparative analysis demonstrates superior performance over existing models in detecting violent behavior.",COMP,
Scopus,International Journal of Safety and Security Engineering,Pangavhane M.; Patil R.; Bharati R.; Gupta D.; Ahire P.; Patil P.; Rahane W.; Dharrao D.,Real-Time Deep Learning-Driven Surveillance with Spatiotemporal Feature Extraction for Detection of Anomalous Human Behavior Across Dynamic Environments,2025,doi.org/10.18280/ijsse.150112,"Nowadays continuous monitoring of public and private environments through Closed-Circuit Television (CCTV) is at peak attention. The identification and reporting of suspected human activity is crucial for the safety and security of the individuals and their belongings. Many researchers have provided numerous solutions for automated activity monitoring with CCTV and machine learning applications. But these models are struggling to provide high accuracy with real-time detection and triggering alert systems in a dynamic environment. The proposed model addresses these issues with a combined approach of convolutional and recurrent neural networks (Inception V3 and Bidirectional Long Short-Term Memory (BiLSTM)) with an attention mechanism to classify videos. This proposed model uses the strength of the Inception V3 network to extract spatial features from video frames, and the BiLSTM network processes these features in a time-dependent manner to the identification of suspicious human activities. Also, the attention mechanism added to proposed system to focuses on the most significant spatiotemporal variables for violence detection. This deep learning model is designed to extract spatiotemporal features and thus can extract complex patterns in human motion robustly. This model is trained with publicly available dataset to analyze the performance with accuracy in a dynamic environment. The proposed deep-learning model effectively identifies and categorizes numerous suspicious behaviors in real-time by scrutinizing video sequences. The performance analysis proves that the proposed model efficiently detects activities like loitering, aggressive behavior, and unauthorized access. This automated surveillance system strengthens security in homes as well as other public and private environments.",ENGI; ENVI,
Scopus,International Journal of Intelligent Systems,Jarraya S.K.; Masmoudi M.; Alqurashi F.A.; Alshammari S.M.,Analyzing and Detecting Abnormal Behaviors of Drug Abuse and Addiction Users in School Environments Based on Deep Learning Approaches,2025,doi.org/10.1155/int/9722173,"Drug abuse and addiction problems are one of the most serious health, social, and psychological problems facing the world. Many international studies indicate that the start of drug abuse occurs mostly in adolescence, which is the period that young people spend in schools, institutes, and universities. Drugs in the student community have become a scourge that raises increasing concern, whether among families or educators, over the fate of school children and educational attainment. Regarding their behaviors, an addicted student often exhibits abnormal behaviors such as permanent lethargy, anxiety, tremors, and aggressive behavior toward others. Moreover, to obtain drugs, the addicted student becomes compelled to resort to various means and ways, and they gradually become criminal addicts. To this endeavor, a detector of abnormal behaviors in schools has become a necessity. In this paper, we built an automatic system able to analyze and detect abnormal behaviors of addicted students and inform the educational staff and parents to know how to manage and treat them. On a technical level, we used deep learning and the recent computer vision techniques in the suggested solution due to their contributions to human behavior and emotion recognition fields. The best-recorded result (97.5%) is obtained with fused handcrafted features based on skeleton joints and deep features extracted with the MobileNet pretrained model and forwarded to a deep proposed network based on two TimeDistributed layers, one BiLSTM layer, and several Dense layers.",COMP; MATH,
