Author,Paper Count,Research Focus,Key Paper,Contribution Summary
Seo S.,2,anomaly detection; video surveillance,Video Anomaly Detection Utilizing Efficient Spatiotemporal Feature Fusion with 3D Convolutions and Long Short-Term Memory Modules,"Contributed 2 paper(s) on anomaly detection; video surveillance, advancing deep learning and computer vision applications for automated surveillance and public safety."
Park S.,2,anomaly detection; video surveillance,Video Anomaly Detection Utilizing Efficient Spatiotemporal Feature Fusion with 3D Convolutions and Long Short-Term Memory Modules,"Contributed 2 paper(s) on anomaly detection; video surveillance, advancing deep learning and computer vision applications for automated surveillance and public safety."
Jebur S.A.,2,violence detection; behavior analysis; video surveillance,Novel Deep Feature Fusion Framework for Multi-Scenario Violence Detection,"Contributed 2 paper(s) on violence detection; behavior analysis; video surveillance, advancing deep learning and computer vision applications for automated surveillance and public safety."
Hussein K.A.,2,violence detection; behavior analysis; video surveillance,Novel Deep Feature Fusion Framework for Multi-Scenario Violence Detection,"Contributed 2 paper(s) on violence detection; behavior analysis; video surveillance, advancing deep learning and computer vision applications for automated surveillance and public safety."
Hoomod H.K.,2,violence detection; behavior analysis; video surveillance,Novel Deep Feature Fusion Framework for Multi-Scenario Violence Detection,"Contributed 2 paper(s) on violence detection; behavior analysis; video surveillance, advancing deep learning and computer vision applications for automated surveillance and public safety."
Amin S.U.,2,anomaly detection; video surveillance,An Efficient Attention-Based Strategy for Anomaly Detection in Surveillance Video,"Contributed 2 paper(s) on anomaly detection; video surveillance, advancing deep learning and computer vision applications for automated surveillance and public safety."
Altowairqi S.,1,anomaly detection,Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms,"Contributed 1 paper(s) on anomaly detection, advancing deep learning and computer vision applications for automated surveillance and public safety."
Luo S.,1,anomaly detection,Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms,"Contributed 1 paper(s) on anomaly detection, advancing deep learning and computer vision applications for automated surveillance and public safety."
Greer P.,1,anomaly detection,Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms,"Contributed 1 paper(s) on anomaly detection, advancing deep learning and computer vision applications for automated surveillance and public safety."
Chen S.,1,anomaly detection,Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms,"Contributed 1 paper(s) on anomaly detection, advancing deep learning and computer vision applications for automated surveillance and public safety."
