Keyword,Frequency,Definition,Relevance to Topic,Category
deep learning,23,"A subset of machine learning based on artificial neural networks with multiple layers, enabling automatic feature extraction from raw data.",Highly relevant to automated surveillance and safety violation detection using computer vision.,Method
violence detection,19,The automated identification of aggressive physical behavior in video streams using computer vision and machine learning techniques.,Highly relevant to automated surveillance and safety violation detection using computer vision.,Application
anomaly detection,16,"The identification of rare events, items, or observations that differ significantly from the majority of data, critical for security applications.",Highly relevant to automated surveillance and safety violation detection using computer vision.,Application
convolutional neural network,15,Same as CNN.,Highly relevant to automated surveillance and safety violation detection using computer vision.,Architecture
CNN,15,"A class of deep neural networks most commonly applied to analyze visual imagery, using convolutional layers to automatically learn spatial hierarchies of features.",Highly relevant to automated surveillance and safety violation detection using computer vision.,Architecture
video surveillance,14,"The use of cameras to monitor activities in public or private spaces, increasingly augmented by AI-driven automated analysis.",Highly relevant to automated surveillance and safety violation detection using computer vision.,Context
IoT,12,"A network of physical objects embedded with sensors and software to connect and exchange data, enabling distributed surveillance systems.",Highly relevant to automated surveillance and safety violation detection using computer vision.,Context
CCTV,11,Closed-circuit television systems used for surveillance monitoring; increasingly integrated with AI-based automated analysis.,Highly relevant to automated surveillance and safety violation detection using computer vision.,Context
LSTM,10,"A type of recurrent neural network architecture capable of learning long-term dependencies in sequential data, commonly used for temporal modeling in video analysis.",Highly relevant to automated surveillance and safety violation detection using computer vision.,Architecture
object detection,9,A computer vision task involving both localization and classification of objects within an image or video frame.,Highly relevant to automated surveillance and safety violation detection using computer vision.,Method
