id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
3,"ai, qingyao",0.3835,-0.004,2,4,4,2,29,1.5323,2021,14.5,0.7662
32,"chen, jia",-0.461,-0.4458,1,4,4,2,51,1.5249,2020,25.5,0.7625
42,"dou, zhicheng",-0.9315,0.435,3,1,1,2,65,2.6998,2021.5,32.5,1.3499
86,"liu, yiqun",-0.3949,-0.1021,1,6,16,5,160,6.0272,2021,32,1.2054
90,"ma, shaoping",-0.2271,0.1453,1,6,16,5,160,6.0272,2021,32,1.2054
91,"ma, weizhi",-0.7668,-0.1699,1,4,6,2,50,2.073,2021.5,25,1.0365
97,"mao, jiaxin",-0.7078,0.2036,3,6,11,4,126,5.2131,2021.25,31.5,1.3033
124,"qiao, yifan",1.1421,0.1783,2,2,4,2,19,1.1176,2022,9.5,0.5588
179,"yang, tao",0.8971,0.0427,2,3,5,3,25,1.297,2021.3333,8.3333,0.4323
180,"yang, yingrui",1.1616,-0.0487,2,2,4,2,19,1.1176,2022,9.5,0.5588
195,"zhang, min",-0.0953,-0.2344,1,6,13,4,151,5.1802,2020.5,37.75,1.295
