id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
10,bert,-0.9046,-0.4635,3,4,7,4,2022.25,32,1.8155
15,cascade model,0.4645,-0.2082,5,1,1,2,2021,30,1.4755
26,context-aware,-0.2263,0.9437,4,1,1,2,2022,32.5,0.9348
33,counterfactual learning to rank,0.7903,-0.2397,2,2,2,2,2022,14,0.5425
39,dense retrieval,-1.0515,-0.5014,3,3,6,2,2022,53,2.9662
45,document ranking,1.0027,-0.3121,2,2,2,2,2020,43.5,1.3007
51,efficiency,-0.2133,0.0918,1,2,2,2,2023,15,0.7703
58,fairness,-0.1511,0.5678,4,4,7,4,2022.75,87.75,2.5743
64,information retrieval,-0.1885,0.2288,1,5,7,5,2023.2,34.4,1.3172
77,large language model,0.0313,0.1506,1,4,4,2,2024.5,68,2.1226
79,learning to rank,0.6018,-0.1766,5,3,3,2,2022.5,7.5,0.5294
93,neural network,0.905,-0.2786,2,2,2,2,2020.5,31.5,0.9053
103,popularity bias,-0.1885,0.763,4,2,5,3,2023,70.6667,1.891
104,position bias,0.4716,-0.1639,5,3,3,2,2021,15,0.5931
107,product search,-0.259,0.2764,1,1,1,2,2023,4.5,0.4235
108,pseudo-relevance feedback,-1.0034,-0.5784,3,3,6,2,2022,53,2.9662
112,query expansion,-1.0821,-0.5739,3,3,6,3,2022,36.3333,2.0363
114,ranking,-0.1458,0.0103,1,5,6,5,2023.2,12.8,0.7952
117,recommender system,0.3101,-0.0641,5,4,4,3,2023.6667,13,0.6546
118,recommender systems,-0.208,0.8545,4,3,6,4,2023.25,59,1.5792
147,web search,1.0449,-0.3266,2,1,1,2,2021,29,1.0262
