id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
17,behavioral research,-0.2309,-0.9093,3,13,29,6,2021.3333,22.1667,1.0018
20,benchmark datasets,1.0473,-0.2307,1,10,13,3,2020.3333,23,0.6633
41,computational linguistics,-0.4111,0.5183,2,15,30,7,2022.7143,10.5714,0.6431
55,context models,-0.5659,-0.4186,4,9,10,3,2023.6667,29.3333,1.608
58,context-aware,-0.5918,0.0066,4,9,9,3,2022.3333,21,0.6047
63,contextual information,-0.2135,-0.5008,4,13,18,4,2020.5,40.5,1.2905
89,document ranking,0.4456,-0.2353,1,15,25,6,2021.5,32.6667,1.7728
109,embeddings,0.0975,0.4557,2,19,43,12,2022,28.4167,1.2464
119,fairness,-0.4028,0.8357,2,7,10,3,2023.3333,75.3333,2.3191
146,information retrieval,-0.0503,-0.0659,3,28,89,22,2021.9091,18.8182,0.9119
165,knowledge management,1.1382,0.0858,1,9,12,3,2020.3333,9,0.2606
167,language model,-0.1314,0.6804,2,15,26,6,2023.3333,33.8333,1.3388
168,large dataset,0.6101,-0.3925,1,18,26,6,2021.1667,16.3333,0.6907
178,learning systems,0.8685,0.1162,1,11,17,5,2021.4,17,0.6765
179,learning to rank,0.7772,-0.0797,1,13,20,5,2021.2,15.4,0.5561
276,query processing,-0.3163,-0.167,4,10,12,3,2021,17,0.5869
279,ranking,0.1646,0.0409,1,17,23,5,2023.2,12.8,0.7952
286,ranking model,0.4137,0.2789,1,17,27,7,2021.8571,9.5714,0.5863
289,re-ranking,-0.6583,0.3922,2,15,33,8,2022.875,12.375,0.6449
290,real-world,-0.8884,-0.5175,3,6,6,3,2023.3333,15.3333,0.9634
292,recommender systems,-0.2276,0.2069,4,13,18,9,2023.5556,50.1111,1.7241
312,retrieval models,-0.7361,0.6074,2,9,14,3,2022.6667,12.3333,0.6508
322,search engines,0.1435,-0.2364,3,26,68,16,2021.8125,27.625,1.2965
337,semantic web,0.123,1.0502,2,7,11,3,2023,3.6667,0.3451
338,semantics,0.0734,0.7178,2,14,29,7,2022.8571,14.1429,1.0873
354,state of the art,-0.7364,0.157,4,9,11,3,2021,56.3333,1.7147
377,user behaviors,-0.5179,-0.8664,3,11,20,4,2022,16.5,1.0018
393,web searches,-0.3819,-0.6512,3,13,22,4,2021.75,22.5,1.0631
396,websites,-0.0337,-0.7557,3,13,27,5,2021.4,20.2,0.9567
398,world wide web,1.1918,-0.1231,1,8,8,3,2020.3333,29.6667,0.8786
